,Date,0
180,,6237982.275523245
181,,7837215.880826116
182,,6643452.019706368
183,,7278065.276250243
184,,11796386.665932834
185,,6120804.318383336
186,,8797660.571679473
187,,7038046.44510895
188,,7791277.347847819
189,,6444631.520844996
190,,5359165.7854653895
191,,5091134.578797966
192,,7297045.666649938
193,,6679421.86024785
194,,6263814.830303192
195,,13478664.725914598
196,,10401173.369377851
197,,7376586.03849262
198,,5767066.491488367
199,,3701225.675955415
200,,6104008.645631373
201,,6455618.069246411
202,,5784847.840566188
203,,4549024.14227277
204,,7165570.855662227
205,,8111634.04622674
206,,7989337.427854538
207,,6771894.249521196
208,,7354449.94482398
209,,6586576.6068995
210,,14454473.095595837
211,,7966187.675565481
212,,11770166.556373239
213,,14574868.317052722
214,,12329812.447562814
215,,11359480.212926865
216,,7833504.729010165
217,,9622378.541886806
218,,9184054.086104035
219,,10922116.948962212
220,,9265951.26670599
221,,8860001.626171172
222,,14549044.856518507
223,,9340314.214497805
224,,14671446.408495307
225,,23794199.102908373
226,,22050419.457271695
227,,11425872.404113412
228,,20701317.484363914
229,,22623091.106578708
230,,14657821.829274297
231,,17449696.506127715
232,,12000673.5060364
233,,14922034.85184908
234,,24412070.55261731
235,,16337496.836304665
236,,12762895.819574594
237,,12149466.559126973
238,,11060703.460112214
239,,15125536.089032888
240,,23008892.795473337
241,,14011581.929340959
2174,2019-02-19,
2175,2019-02-20,
2176,2019-02-21,
2177,2019-02-22,
2178,2019-02-25,
2179,2019-02-26,
2180,2019-02-27,
2181,2019-02-28,
2182,2019-03-01,
2183,2019-03-04,
2184,2019-03-05,
2185,2019-03-06,
2186,2019-03-07,
2187,2019-03-08,
2188,2019-03-11,
2189,2019-03-12,
2190,2019-03-13,
2191,2019-03-14,
2192,2019-03-15,
2193,2019-03-18,
2194,2019-03-19,
2195,2019-03-20,
2196,2019-03-21,
2197,2019-03-22,
2198,2019-03-25,
2199,2019-03-26,
2200,2019-03-27,
2201,2019-03-28,
2202,2019-03-29,
2203,2019-04-01,
2204,2019-04-02,
2205,2019-04-03,
2206,2019-04-04,
2207,2019-04-05,
2208,2019-04-08,
2209,2019-04-09,
2210,2019-04-10,
2211,2019-04-11,
2212,2019-04-12,
2213,2019-04-15,
2214,2019-04-16,
2215,2019-04-17,
2216,2019-04-18,
2217,2019-04-22,
2218,2019-04-23,
2219,2019-04-24,
2220,2019-04-25,
2221,2019-04-26,
2222,2019-04-29,
2223,2019-04-30,
2224,2019-05-01,
2225,2019-05-02,
2226,2019-05-03,
2227,2019-05-06,
2228,2019-05-07,
2229,2019-05-08,
2230,2019-05-09,
2231,2019-05-10,
2232,2019-05-13,
2233,2019-05-14,
2234,2019-05-15,
2235,2019-05-16,
2236,2019-05-17,
2237,2019-05-20,
2238,2019-05-21,
2239,2019-05-22,
2240,2019-05-23,
2241,2019-05-24,
2242,2019-05-28,
2243,2019-05-29,
2244,2019-05-30,
2245,2019-05-31,
2246,2019-06-03,
2247,2019-06-04,
2248,2019-06-05,
2249,2019-06-06,
2250,2019-06-07,
2251,2019-06-10,
2252,2019-06-11,
2253,2019-06-12,
2254,2019-06-13,
2255,2019-06-14,
2256,2019-06-17,
2257,2019-06-18,
2258,2019-06-19,
2259,2019-06-20,
2260,2019-06-21,
2261,2019-06-24,
2262,2019-06-25,
2263,2019-06-26,
2264,2019-06-27,
2265,2019-06-28,
2266,2019-07-01,
2267,2019-07-02,
2268,2019-07-03,
2269,2019-07-05,
2270,2019-07-08,
2271,2019-07-09,
2272,2019-07-10,
2273,2019-07-11,
2274,2019-07-12,
2275,2019-07-15,
2276,2019-07-16,
2277,2019-07-17,
2278,2019-07-18,
2279,2019-07-19,
2280,2019-07-22,
2281,2019-07-23,
2282,2019-07-24,
2283,2019-07-25,
2284,2019-07-26,
2285,2019-07-29,
2286,2019-07-30,
2287,2019-07-31,
2288,2019-08-01,
2289,2019-08-02,
2290,2019-08-05,
2291,2019-08-06,
2292,2019-08-07,
2293,2019-08-08,
2294,2019-08-09,
2295,2019-08-12,
2296,2019-08-13,
2297,2019-08-14,
2298,2019-08-15,
2299,2019-08-16,
2300,2019-08-19,
2301,2019-08-20,
2302,2019-08-21,
2303,2019-08-22,
2304,2019-08-23,
2305,2019-08-26,
2306,2019-08-27,
2307,2019-08-28,
2308,2019-08-29,
2309,2019-08-30,
2310,2019-09-03,
2311,2019-09-04,
2312,2019-09-05,
2313,2019-09-06,
2314,2019-09-09,
2315,2019-09-10,
2316,2019-09-11,
2317,2019-09-12,
2318,2019-09-13,
2319,2019-09-16,
2320,2019-09-17,
2321,2019-09-18,
2322,2019-09-19,
2323,2019-09-20,
2324,2019-09-23,
2325,2019-09-24,
2326,2019-09-25,
2327,2019-09-26,
2328,2019-09-27,
2329,2019-09-30,
2330,2019-10-01,
2331,2019-10-02,
2332,2019-10-03,
2333,2019-10-04,
2334,2019-10-07,
2335,2019-10-08,
2336,2019-10-09,
2337,2019-10-10,
2338,2019-10-11,
2339,2019-10-14,
2340,2019-10-15,
2341,2019-10-16,
2342,2019-10-17,
2343,2019-10-18,
2344,2019-10-21,
2345,2019-10-22,
2346,2019-10-23,
2347,2019-10-24,
2348,2019-10-25,
2349,2019-10-28,
2350,2019-10-29,
2351,2019-10-30,
2352,2019-10-31,
2353,2019-11-01,
2354,2019-11-04,
2355,2019-11-05,
2356,2019-11-06,
2357,2019-11-07,
2358,2019-11-08,
2359,2019-11-11,
2360,2019-11-12,
2361,2019-11-13,
2362,2019-11-14,
2363,2019-11-15,
2364,2019-11-18,
2365,2019-11-19,
2366,2019-11-20,
2367,2019-11-21,
2368,2019-11-22,
2369,2019-11-25,
2370,2019-11-26,
2371,2019-11-27,
2372,2019-11-29,
2373,2019-12-02,
2374,2019-12-03,
2375,2019-12-04,
2376,2019-12-05,
2377,2019-12-06,
2378,2019-12-09,
2379,2019-12-10,
2380,2019-12-11,
2381,2019-12-12,
2382,2019-12-13,
2383,2019-12-16,
2384,2019-12-17,
2385,2019-12-18,
2386,2019-12-19,
2387,2019-12-20,
2388,2019-12-23,
2389,2019-12-24,
2390,2019-12-26,
2391,2019-12-27,
2392,2019-12-30,
2393,2019-12-31,
2394,2020-01-02,
2395,2020-01-03,
2396,2020-01-06,
2397,2020-01-07,
2398,2020-01-08,
2399,2020-01-09,
2400,2020-01-10,
2401,2020-01-13,
2402,2020-01-14,
2403,2020-01-15,
2404,2020-01-16,
2405,2020-01-17,
2406,2020-01-21,
2407,2020-01-22,
2408,2020-01-23,
2409,2020-01-24,
2410,2020-01-27,
2411,2020-01-28,
2412,2020-01-29,
2413,2020-01-30,
2414,2020-01-31,
2415,2020-02-03,
